year,period_type,period,source_file,department,is_hospital_total,n_inpatients,patient_days,n_infected_patients,n_infection_episodes,incidence_pct,episode_incidence_pct,incidence_per_1000_pd,episode_incidence_per_1000_pd,n_underreported,underreport_pct,site_aad,site_ascites,site_bsi_non_catheter,site_burn,site_cauti,site_clabsi,site_clabsi_episodes,site_cns_other,site_genital_other,site_gi,site_infectious_diarrhoea,site_intraabdominal,site_intracranial_abscess,site_lower_resp,site_meningitis_ventriculitis,site_myocarditis_pericarditis,site_oral_fungal,site_oral_fungal_episodes,site_osteomyelitis,site_other,site_perineal_incision,site_septicaemia,site_skin,site_soft_tissue,site_spinal_canal,site_ssi_deep,site_ssi_deep_episodes,site_ssi_organ_space,site_ssi_organ_space_episodes,site_ssi_superficial,site_upper_resp,site_uti,site_vaginal_cuff,site_vap,site_vascular_related
2025,quarter,4,2025-Q4,Cardiology Ward 1,0,659,4328.0,3,3,0.46,0.46,0.69,0.69,0,0.0,,,0,,0,,,,,,,0.0,,3,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Cardiology Ward 2,0,732,5210.0,2,2,0.27,0.27,0.38,0.38,0,0.0,,,0,,0,,,,,,,0.0,,0,,,1.0,,,1,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Infectious Diseases Ward,0,541,4275.0,1,1,0.18,0.18,0.23,0.23,0,0.0,,,0,,0,,,,,,,0.0,,1,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Neonatology Ward,0,142,722.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,General Surgery Ward 1,0,671,3974.0,2,2,0.3,0.3,0.5,0.5,0,0.0,,,0,,0,,,,,,,0.0,,2,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Urology Ward,0,823,3986.0,1,1,0.12,0.12,0.25,0.25,0,0.0,,,1,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Gastroenterology Ward,0,909,5770.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Burn & Plastic Surgery Ward,0,130,932.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Ophthalmology Ward,0,696,2618.0,1,1,0.14,0.14,0.38,0.38,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,1.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Neurology Ward 1,0,667,4944.0,1,1,0.15,0.15,0.2,0.2,0,0.0,,,0,,0,,,,,,,0.0,,1,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Neurology Ward 2,0,712,5086.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Neurosurgery Ward,0,349,4196.0,11,13,3.15,3.72,2.62,3.1,0,0.0,,,1,,1,,,,,,,0.0,,7,,,0.0,,,0,,0.0,0.0,0,1.0,0.0,,2.0,,,0.0,1,,0,
2025,quarter,4,2025-Q4,Geriatrics Ward,0,228,1937.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,ENT Ward,0,510,2649.0,2,2,0.39,0.39,0.76,0.76,0,0.0,,,0,,0,,,,,,,0.0,,1,,,1.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Hepatobiliary Surgery Ward,0,430,2596.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Nephrology Ward,0,358,3037.0,5,5,1.4,1.4,1.65,1.65,0,0.0,,,0,,1,,,,,,,0.0,,3,,,0.0,,,0,,0.0,1.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Oncology Ward 1,0,734,5413.0,4,4,0.54,0.54,0.74,0.74,0,0.0,,,1,,0,,,,,,,0.0,,3,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Oncology Ward 2,0,651,5083.0,2,2,0.31,0.31,0.39,0.39,0,0.0,,,0,,0,,,,,,,0.0,,2,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Cardiothoracic Surgery Ward,0,340,1914.0,1,1,0.29,0.29,0.52,0.52,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,1,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Haematology Ward,0,431,2845.0,10,13,2.32,3.02,3.51,4.57,0,0.0,,,1,,0,,,,,,,0.0,,7,,,1.0,,,3,,1.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Intensive Care Unit,0,300,2344.0,10,12,3.33,4.0,4.27,5.12,1,10.0,,,0,,6,,,,,,,0.0,,2,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,4,
2025,quarter,4,2025-Q4,Orthopaedics Ward 1,0,604,4477.0,3,3,0.5,0.5,0.67,0.67,0,0.0,,,1,,1,,,,,,,0.0,,1,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Orthopaedics Ward 3,0,469,4844.0,7,8,1.49,1.71,1.45,1.65,1,14.29,,,2,,1,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,1,0.0,2.0,,1.0,,,0.0,1,,0,
2025,quarter,4,2025-Q4,Orthopaedics Ward 2,0,540,4404.0,1,2,0.19,0.37,0.23,0.45,0,0.0,,,0,,0,,,,,,,1.0,,1,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Hospital-wide,1,17499,125037.0,80,91,0.46,0.52,0.64,0.73,3,3.75,,,7,,15,,,,,,,1.0,,40,,,4.0,,,5,,1.0,1.0,2,1.0,2.0,,4.0,,,1.0,3,,4,
2025,year,2025,2025-Y,Coronary Care Unit,0,927,2741.0,2,2,0.22,0.22,0.73,0.73,1,50.0,0.0,0.0,0,,1,0.0,,,,0.0,0.0,0.0,,0,,,0.0,,0.0,1,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0,,0,
2025,year,2025,2025-Y,TCM Ward,0,1066,7726.0,2,2,0.19,0.19,0.26,0.26,0,0.0,0.0,0.0,0,,0,0.0,,,,0.0,0.0,0.0,,1,,,0.0,,0.0,1,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0,,0,
2025,year,2025,2025-Y,TCM Anorectal Surgery Ward,0,1764,10997.0,2,2,0.11,0.11,0.18,0.18,1,50.0,0.0,0.0,0,,0,0.0,,,,0.0,0.0,0.0,,1,,,0.0,,0.0,1,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0,,0,
2025,year,2025,2025-Y,Breast & Thyroid Surgery Ward,0,1381,3607.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,,0,0.0,,,,0.0,0.0,0.0,,0,,,0.0,,0.0,0,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0,,0,
2025,year,2025,2025-Y,Obstetrics Ward,0,1494,7453.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,,0,0.0,,,,0.0,0.0,0.0,,0,,,0.0,,0.0,0,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0,,0,
2025,year,2025,2025-Y,Paediatrics Ward,0,4156,21492.0,1,1,0.02,0.02,0.05,0.05,0,0.0,0.0,0.0,0,,0,0.0,,,,0.0,1.0,0.0,,0,,,0.0,,0.0,0,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0,,0,
2025,year,2025,2025-Y,General Practice Ward,0,1677,13398.0,7,7,0.42,0.42,0.52,0.52,1,14.29,0.0,0.0,1,,0,0.0,,,,0.0,0.0,0.0,,4,,,0.0,,0.0,0,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,2,,0,
2025,year,2025,2025-Y,Endocrinology Ward,0,2288,15720.0,5,5,0.22,0.22,0.32,0.32,0,0.0,0.0,0.0,0,,0,0.0,,,,0.0,0.0,0.0,,2,,,0.0,,0.0,0,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,2.0,1,,0,
2025,year,2025,2025-Y,Respiratory & Critical Care Ward 1,0,2569,19986.0,1,1,0.04,0.04,0.05,0.05,0,0.0,0.0,0.0,0,,0,0.0,,,,0.0,0.0,0.0,,0,,,1.0,,0.0,0,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0,,0,
2025,year,2025,2025-Y,Respiratory & Critical Care Ward 2,0,1682,13185.0,2,2,0.12,0.12,0.15,0.15,0,0.0,0.0,0.0,0,,0,0.0,,,,0.0,0.0,0.0,,0,,,2.0,,0.0,0,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0,,0,
2025,year,2025,2025-Y,Respiratory & Critical Care ICU,0,120,340.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,,0,0.0,,,,0.0,0.0,0.0,,0,,,0.0,,0.0,0,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0,,0,
2025,year,2025,2025-Y,Gynaecology Ward,0,2359,9722.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,,0,0.0,,,,0.0,0.0,0.0,,0,,,0.0,,0.0,0,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0,,0,
2025,year,2025,2025-Y,Rehabilitation Medicine Ward,0,1040,19923.0,41,46,3.94,4.42,2.06,2.31,1,2.44,0.0,0.0,2,,11,0.0,,,,0.0,0.0,0.0,,22,,,0.0,,0.0,0,,1.0,1.0,0,0.0,0.0,,0.0,,0.0,2.0,7,,0,
2025,year,2025,2025-Y,Cardiology Ward 1,0,2401,16291.0,9,9,0.37,0.37,0.55,0.55,0,0.0,0.0,0.0,2,,1,0.0,,,,0.0,0.0,0.0,,5,,,0.0,,0.0,0,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,1.0,0,,0,
2025,year,2025,2025-Y,Cardiology Ward 2,0,2741,19389.0,12,13,0.44,0.47,0.62,0.67,0,0.0,0.0,0.0,1,,0,0.0,,,,0.0,0.0,0.0,,8,,,1.0,,0.0,1,,0.0,0.0,1,0.0,0.0,,0.0,,0.0,0.0,1,,0,
2025,year,2025,2025-Y,Infectious Diseases Ward,0,2036,16454.0,5,5,0.25,0.25,0.3,0.3,0,0.0,0.0,0.0,0,,0,0.0,,,,0.0,0.0,0.0,,2,,,0.0,,0.0,0,,0.0,0.0,0,0.0,0.0,,0.0,,0.0,3.0,0,,0,
