year,period,year_month,source_file,department,is_hospital_total,n_inpatients,patient_days,n_infected_patients,n_infection_episodes,incidence_pct,episode_incidence_pct,incidence_per_1000_pd,episode_incidence_per_1000_pd,n_underreported,underreport_pct,site_aad,site_ascites,site_bsi_non_catheter,site_burn,site_cauti,site_clabsi,site_clabsi_episodes,site_cns_other,site_genital_other,site_gi,site_infectious_diarrhoea,site_intraabdominal,site_intracranial_abscess,site_lower_resp,site_meningitis_ventriculitis,site_myocarditis_pericarditis,site_oral_fungal,site_oral_fungal_episodes,site_osteomyelitis,site_other,site_perineal_incision,site_septicaemia,site_skin,site_soft_tissue,site_spinal_canal,site_ssi_deep,site_ssi_deep_episodes,site_ssi_organ_space,site_ssi_organ_space_episodes,site_ssi_superficial,site_upper_resp,site_uti,site_vaginal_cuff,site_vap,site_vascular_related
2023,3,2023-03,2023-03,General Practice Ward,0,109,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Endocrinology Ward,0,211,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Respiratory & Critical Care Ward 1,0,275,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Respiratory & Critical Care Ward 2,0,249,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Gynaecology Ward,0,189,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Rehabilitation Medicine Ward,0,151,,2,3,1.32,1.99,,,0.0,0.0,,,0,,1,,,,,,0.0,0.0,,2,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Cardiology Ward 1,0,262,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Cardiology Ward 2,0,295,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Infectious Diseases Ward,0,181,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Neonatology Ward,0,45,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,General Surgery Ward 1,0,288,,3,4,1.04,1.39,,,0.0,0.0,,,0,,0,,,,,,0.0,1.0,,2,0.0,,,,,0.0,,0.0,,,,,,,,1.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Urology Ward,0,199,,1,1,0.5,0.5,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,1,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Gastroenterology Ward,0,337,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Burn & Plastic Surgery Ward,0,59,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Ophthalmology Ward,0,304,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Neurology Ward 1,0,282,,2,2,0.71,0.71,,,1.0,50.0,,,0,,2,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
